Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,,BMR,mean_cal_activity,,,,,,,,,,
4/26/18,"2,635","2,931",1.38,2,"1,347",93,0,0,566,2069,1923,0,,,,,,,,,,
4/27/18,"3,649","9,971",4.7,19,"1,158",219,46,17,"1,752",1897,,,,,,,,,,,,
4/28/18,"3,379","3,521",1.66,2,702,155,22,11,"1,124",2255,,,,,,,,,,,,
4/29/18,"2,851","1,639",0.77,0,891,122,0,0,602,2249,,,,,,,,,,,,
4/30/18,"2,825","1,323",0.62,0,880,104,0,0,540,2285,,,,,,,,,,,,
5/1/18,"3,292","2,581",1.22,0,919,167,13,2,"1,068",2224,,,,,,,,,,,,
5/2/18,"2,660","1,372",0.65,0,927,90,0,0,419,2241,,,,,,,,,,,,
5/3/18,"3,121","2,232",1.05,0,876,157,16,0,"1,006",2115,,,,,,,,,,,,
5/4/18,"2,522",904,0.43,1,"1,012",61,0,0,269,2253,,,,,,,,,,,,
5/5/18,"2,551",833,0.39,0,969,68,0,0,326,2225,,,,,,,,,,,,
5/6/18,"2,771","1,383",0.65,0,976,103,0,0,506,2265,,,,,,,,,,,,
5/7/18,"2,524",952,0.45,0,907,63,0,0,283,2241,,,,,,,,,,,,
5/8/18,"2,591","1,187",0.56,2,"1,221",53,17,2,410,2181,,,,,,,,,,,,
5/9/18,"2,153",21,0.01,0,"1,438",2,0,0,8,2145,,,,,,,,,,,,
5/10/18,"3,081","1,364",0.64,0,"1,295",136,5,4,924,2157,,,,,,,,,,,,
5/11/18,"2,950","2,771",1.31,1,947,130,0,0,727,2223,,,,,,,,,,,,
5/12/18,"3,318","4,125",1.95,2,756,184,4,7,"1,113",2205,,,,,,,,,,,,
5/13/18,"2,572","1,689",0.8,0,895,84,0,0,394,2178,,,,,,,,,,,,
5/14/18,"2,966","3,710",1.75,0,959,119,19,0,794,2172,,,,,,,,,,,,
5/15/18,"3,152","4,313",2.03,0,767,183,9,0,"1,011",2141,,,,,,,,,,,,
5/16/18,"3,497","5,882",2.77,1,825,234,5,6,"1,396",2101,,,,,,,,,,,,
5/17/18,"3,066","4,080",1.92,4,867,158,0,0,897,2169,,,,,,,,,,,,
5/18/18,"4,376","13,958",6.58,7,682,178,67,92,"2,549",1827,,,,,,,,,,,,
5/19/18,"4,112","14,917",7.04,7,646,193,34,89,"2,228",1884,,,,,,,,,,,,
5/20/18,"3,098","4,986",2.35,3,795,174,5,6,978,2120,,,,,,,,,,,,
5/21/18,"3,009","3,989",1.88,3,727,182,0,0,932,2077,,,,,,,,,,,,
5/22/18,"3,581","4,680",2.21,1,625,209,33,2,"1,460",2121,,,,,,,,,,,,
5/23/18,"3,772","6,889",3.25,0,921,241,42,14,"1,765",2007,,,,,,,,,,,,
5/24/18,"2,756","3,470",1.64,0,804,143,0,0,723,2033,,,,,,,,,,,,
5/25/18,"3,155","5,389",2.54,1,821,145,32,13,"1,127",2028,,,,,,,,,,,,
5/26/18,"3,121","4,092",1.93,2,"1,258",172,7,3,999,2122,,,,,,,,,,,,
5/27/18,"3,407","5,347",2.52,2,825,209,21,6,"1,260",2147,,,,,,,,,,,,
5/28/18,"3,213","3,875",1.83,2,668,164,0,0,922,2291,,,,,,,,,,,,
5/29/18,"3,466","6,448",3.04,0,899,254,9,0,"1,427",2039,,,,,,,,,,,,
5/30/18,"3,324","5,519",2.6,1,"1,201",217,19,3,"1,264",2060,,,,,,,,,,,,
5/31/18,"3,420","5,879",2.77,3,735,230,5,6,"1,349",2071,,,,,,,,,,,,
6/1/18,"3,513","6,916",3.26,0,690,279,10,2,"1,527",1986,,,,,,,,,,,,
6/2/18,"2,742","2,946",1.39,3,717,171,0,0,752,1990,,,,,,,,,,,,
6/3/18,"3,765","6,815",3.21,2,545,201,42,29,"1,834",1931,,,,,,,,,,,,
6/4/18,"3,585","6,162",2.91,6,"1,171",225,36,8,"1,530",2055,,,,,,,,,,,,
6/5/18,"3,189","4,486",2.12,4,823,177,10,0,"1,022",2167,,,,,,,,,,,,
6/6/18,"2,145",0,0,0,"1,440",0,0,0,0,2145,,,,,,,,,,,,
6/7/18,"2,146",0,0,0,"1,440",0,0,0,0,2146,,,,,,,,,,,,
6/8/18,"2,465","1,929",0.91,1,"1,361",79,0,0,389,2076,,,,,,,,,,,,
6/9/18,"2,859","3,130",1.48,7,835,127,24,1,780,2079,,,,,,,,,,,,
6/10/18,"3,432","7,029",3.32,7,728,230,35,9,"1,549",1883,,,,,,,,,,,,
6/11/18,"2,146",0,0,0,"1,440",0,0,0,0,2146,,,,,,,,,,,,
6/12/18,"3,352","4,535",2.14,1,"1,224",186,20,10,"1,241",2111,,,,,,,,,,,,
6/13/18,"3,335","6,344",2.99,4,"1,186",241,5,8,"1,333",2002,,,,,,,,,,,,
6/14/18,"3,533","8,316",3.92,10,591,287,22,1,"1,684",1849,,,,,,,,,,,,
6/15/18,"3,422","7,249",3.42,14,693,275,11,8,"1,586",1836,,,,,,,,,,,,
6/16/18,"3,313","7,806",3.68,15,749,237,18,7,"1,422",1891,,,,,,,,,,,,
6/17/18,"2,940","3,544",1.67,6,862,132,9,1,791,2149,,,,,,,,,,,,
6/18/18,"3,385","6,189",2.92,1,744,224,5,6,"1,298",2087,,,,,,,,,,,,
6/19/18,"3,560","6,055",2.86,2,686,246,15,4,"1,500",2060,,,,,,,,,,,,
6/20/18,"3,256","5,665",2.67,2,722,219,0,0,"1,211",2045,,,,,,,,,,,,
6/21/18,"3,430","6,480",3.06,4,654,235,18,3,"1,388",2042,,,,,,,,,,,,
6/22/18,"3,290","5,805",2.74,3,"1,179",235,2,9,"1,278",2012,,,,,,,,,,,,
6/23/18,"3,134","2,996",1.41,2,801,130,10,18,"1,079",2055,,,,,,,,,,,,
6/24/18,"3,355","5,209",2.46,2,"1,121",243,0,10,"1,450",1905,,,,,,,,,,,,
6/25/18,"3,127","3,810",1.8,1,768,183,8,0,"1,032",2095,,,,,,,,,,,,
6/26/18,"2,144",0,0,0,"1,440",0,0,0,0,2144,,5/9/18,"2,153",21,0.01,0,"1,438",2,0,0,8,2145
6/27/18,"2,145",0,0,0,"1,440",0,0,0,0,2145,,,,,,,,,,,,
6/28/18,"2,145",0,0,0,"1,440",0,0,0,0,2145,,221,,,,,,,,,,
6/29/18,"2,180",0,0,0,"1,437",3,0,0,39,2141,,,,,,,,,,,,
6/30/18,"2,145",0,0,0,"1,440",0,0,0,0,2145,,,,,,,,,,,,
7/1/18,"3,090","4,714",2.22,4,"1,005",232,0,0,"1,125",1965,,,,,,,,,,,,
7/2/18,"2,204",172,0.08,0,"1,024",12,0,0,67,2137,,,,,,,,,,,,
7/3/18,"2,144",0,0,0,"1,440",0,0,0,0,2144,,,,,,,,,,,,
